date,sentiment,close,volume,open_interest,pct_change
2025-05-28,0.0,772.28,210848,199056,0.0
2025-05-29,0.0,764.32,250594,195076,-1.03
2025-05-30,0.0,771.8,236013,181246,0.98
2025-06-03,0.0,783.1,131022,180833,1.46
2025-06-04,0.0,782.42,191944,180310,-0.09
2025-06-05,0.0,783.72,198422,182808,0.17
2025-06-06,0.0,783.24,272195,178314,-0.06
2025-06-09,0.0,774.72,255991,173184,-1.09
2025-06-10,0.0,775.06,179960,170163,0.04
2025-06-11,0.0,777.54,165488,168745,0.32
2025-06-12,0.0,785.16,218198,172351,0.98
2025-06-13,0.0,794.36,294538,176244,1.17
2025-06-16,0.0,792.3,228842,176077,-0.26
2025-06-17,0.0,785.08,192880,168917,-0.91
2025-06-18,0.0,785.42,164233,162420,0.04
2025-06-19,0.0,781.24,190490,161030,-0.53
2025-06-20,0.0,778.58,149695,156300,-0.34
2025-06-23,0.0,781.3,158979,152358,0.35
2025-06-24,0.0,771.86,248445,147343,-1.21
2025-06-25,0.0,773.94,159583,145731,0.27
2025-06-26,0.0,775.28,128026,135266,0.17
2025-06-27,0.0,768.64,174515,148475,-0.86
2025-06-30,0.0,767.58,211285,155821,-0.14
2025-07-01,0.0,776.1,171739,167465,1.11
2025-07-02,0.0,776.04,202457,168596,-0.01
2025-07-03,0.0,781.28,189582,175461,0.68
2025-07-04,0.0,777.06,213782,175040,-0.54
2025-07-07,0.0,771.3,190256,175760,-0.74
2025-07-08,0.0,776.22,187574,179131,0.64
2025-07-09,0.0,766.82,310838,181258,-1.21
2025-07-10,0.0,773.3,205604,184003,0.85
2025-07-11,0.0,773.56,217649,181932,0.03
2025-07-14,0.0,781.4,249578,191083,1.01
2025-07-15,0.0,780.4,216294,198270,-0.13
2025-07-16,0.0,776.66,259450,200708,-0.48
2025-07-17,0.0,776.28,375362,203084,-0.05
2025-07-18,0.0,777.02,221277,202287,0.1
2025-07-21,0.0,781.7,216182,211236,0.6
2025-07-22,0.0,784.84,215395,216722,0.4
2025-07-23,0.0,792.9,286794,222386,1.03
2025-07-24,0.0,778.74,331215,213456,-1.79
2025-07-25,0.0,777.32,190255,211851,-0.18
2025-07-28,0.0,774.78,256019,209675,-0.33
2025-07-29,0.0,771.44,219932,212407,-0.43
2025-07-30,0.0,773.78,206379,214105,0.3
2025-07-31,0.0,770.28,260701,217080,-0.45
2025-08-01,0.0,770.72,189185,218768,0.06
2025-08-04,0.0,781.42,271828,217696,1.39
2025-08-05,0.0,782.5,193353,218652,0.14
2025-08-06,0.0,783.68,191341,215212,0.15
2025-08-07,0.0,785.02,187081,217630,0.17
2025-08-08,0.0,787.8,251828,220321,0.35
2025-08-11,0.0,779.48,278074,211644,-1.06
2025-08-12,0.0,776.04,194063,204736,-0.44
2025-08-13,0.0,777.72,206809,201477,0.22
2025-08-14,0.0,778.7,149006,199577,0.13
2025-08-15,0.0,775.8,160609,197655,-0.37
2025-08-18,0.0,777.66,129189,194004,0.24
2025-08-19,0.0,775.06,121660,191436,-0.33
2025-08-20,0.0,772.68,153091,191473,-0.31
2025-08-21,0.0,775.12,128755,183214,0.32
2025-08-22,0.0,773.4,139379,181759,-0.22
2025-08-25,0.0,779.18,226253,180149,0.75
2025-08-26,0.0,781.12,118442,174587,0.25
2025-08-27,0.0,781.16,135834,166595,0.01
2025-08-28,0.0,783.22,148309,144467,0.26
2025-08-29,0.0,787.42,44257,152526,0.54
2025-09-01,0.0,802.2,132324,178201,1.88
2025-09-02,0.0,806.18,82702,185302,0.5
