date,sentiment,close,volume,amount,turnover_rate,pct_change
2025-06-11,0.0,54.46,681830,3704026068.0,0.63,0.0
2025-06-12,0.0,54.81,589999,3231103730.0,0.55,0.64
2025-06-13,0.0,54.48,480229,2616565694.0,0.45,-0.6
2025-06-16,0.0,54.32,496771,2697778320.0,0.46,-0.29
2025-06-17,0.0,54.23,506289,2745763183.0,0.47,-0.17
2025-06-18,0.0,53.81,469364,2518852918.0,0.44,-0.77
2025-06-19,0.0,53.2,401881,2143533731.0,0.37,-1.13
2025-06-20,0.0,54.74,847430,4606219515.0,0.79,2.89
2025-06-23,0.0,55.1,614705,3373267494.0,0.57,0.66
2025-06-24,0.0,56.79,1040798,5873914857.0,0.97,3.07
2025-06-25,0.0,57.88,1046131,5998384734.0,0.97,1.92
2025-06-26,0.0,57.58,500740,2888896788.0,0.47,-0.52
2025-06-27,0.0,56.96,667632,3832894682.0,0.62,-1.08
2025-06-30,0.0,55.48,564782,3133724720.0,0.52,-2.6
2025-07-01,0.0,55.7,352746,1961556961.0,0.33,0.4
2025-07-02,0.0,55.81,395629,2204210316.0,0.37,0.2
2025-07-03,0.0,55.8,325101,1817404362.0,0.3,-0.02
2025-07-04,0.0,56.57,654544,3695501729.0,0.61,1.38
2025-07-07,0.0,56.43,321763,1813966809.0,0.3,-0.25
2025-07-08,0.0,56.45,343460,1939149952.0,0.32,0.04
2025-07-09,0.0,55.9,395463,2223715808.0,0.37,0.0
2025-07-10,0.0,57.13,828882,4726621457.0,0.77,2.2
2025-07-11,0.0,57.71,1076429,6269330973.0,1.0,1.02
2025-07-14,0.0,57.57,449058,2598863547.0,0.42,-0.24
2025-07-15,0.0,57.1,441726,2535144762.0,0.41,-0.82
2025-07-16,0.0,56.83,481825,2728239344.0,0.45,-0.47
2025-07-17,0.0,56.81,277123,1575012870.0,0.26,-0.04
2025-07-18,0.0,57.07,436240,2492884493.0,0.41,0.46
2025-07-21,0.0,57.19,466733,2671242929.0,0.43,0.21
2025-07-22,0.0,56.7,695203,3930402694.0,0.65,-0.86
2025-07-23,0.0,58.0,869407,5020698335.0,0.81,2.29
2025-07-24,0.0,58.64,707737,4142271385.0,0.66,1.1
2025-07-25,0.0,58.08,508335,2958837440.0,0.47,-0.95
2025-07-28,0.0,60.09,1221217,7297531197.0,1.13,3.46
2025-07-29,0.0,59.49,566092,3380012575.0,0.53,-1.0
2025-07-30,0.0,60.71,921993,5600001966.0,0.86,2.05
2025-07-31,0.0,58.69,827601,4910516274.0,0.77,-3.33
2025-08-01,0.0,58.2,488786,2860162236.0,0.45,-0.83
2025-08-04,0.0,58.21,360078,2092312969.0,0.33,0.02
2025-08-05,0.0,59.14,482956,2837798909.0,0.45,1.6
2025-08-06,0.0,59.06,324469,1916931441.0,0.3,-0.14
2025-08-07,0.0,58.88,327972,1932522823.0,0.3,-0.3
2025-08-08,0.0,58.54,397933,2331643860.0,0.37,-0.58
2025-08-11,0.0,58.47,431869,2535939661.0,0.4,-0.12
2025-08-12,0.0,58.75,426985,2507882892.0,0.4,0.48
2025-08-13,0.0,58.61,728453,4285477115.0,0.68,-0.24
2025-08-14,0.0,59.62,1022768,6132887145.0,0.95,1.72
2025-08-15,0.0,59.8,892968,5342602447.0,0.83,0.3
2025-08-18,0.0,59.34,957263,5730767230.0,0.89,-0.77
2025-08-19,0.0,58.2,954810,5626016600.0,0.89,-1.92
2025-08-20,0.0,59.2,762725,4453267555.0,0.71,1.72
2025-08-21,0.0,59.62,574601,3420554066.0,0.53,0.71
2025-08-22,0.0,60.5,780974,4689312103.0,0.73,1.48
2025-08-25,0.0,61.0,670113,4065994394.0,0.62,0.83
2025-08-26,0.0,60.52,491986,2984830238.0,0.46,-0.79
2025-08-27,0.0,58.69,1064558,6325335934.0,0.99,-3.02
2025-08-28,0.0,58.84,636105,3734301053.0,0.59,0.26
2025-08-29,0.0,59.88,1080309,6488619820.0,1.0,1.77
2025-09-01,0.0,58.51,948525,5566516443.0,0.88,-2.29
2025-09-02,0.0,58.66,649036,3797585375.0,0.6,0.26
2025-09-03,0.0,57.78,714746,4150607723.0,0.67,-1.5
2025-09-04,0.0,57.5,727436,4183559781.0,0.68,-0.48
2025-09-05,0.0,57.9,558184,3207319735.0,0.52,0.7
2025-09-08,0.0,57.7,487733,2814135142.0,0.46,-0.35
2025-09-09,0.0,58.0,518911,3004298501.0,0.49,0.52
2025-09-10,0.0,57.87,308470,1786675715.0,0.29,-0.22
2025-09-11,0.0,58.69,595072,3464480190.0,0.56,1.42
2025-09-12,0.0,57.68,735376,4277497749.0,0.69,-1.72
2025-09-15,0.0,57.33,546842,3147658745.0,0.51,-0.61
2025-09-16,0.0,56.62,685714,3894056719.0,0.64,-1.24
2025-09-17,0.0,56.57,684652,3878151157.0,0.64,-0.09
2025-09-18,0.0,55.28,1012074,5649599209.0,0.95,-2.28
2025-09-19,0.0,55.1,543321,3008279780.0,0.51,-0.33
2025-09-22,0.0,55.15,374438,2068811784.0,0.35,0.09
2025-09-23,0.0,55.02,612961,3385890145.0,0.58,-0.24
2025-09-24,0.0,55.29,503174,2781363925.0,0.47,0.49
2025-09-25,0.0,55.09,514296,2838283234.0,0.48,-0.36
2025-09-26,0.0,55.22,548622,3021459544.0,0.51,0.24
2025-09-29,0.0,56.01,1035110,5816595783.0,0.97,1.43
2025-09-30,0.0,55.11,767082,4247640485.0,0.72,-1.61
2025-10-09,0.0,55.04,824067,4521397150.0,0.77,-0.13
2025-10-10,0.0,55.54,641465,3560844773.0,0.6,0.91
2025-10-13,0.0,55.1,609656,3353288998.0,0.57,-0.79
2025-10-14,0.0,56.48,1022940,5757976241.0,0.96,2.5
2025-10-15,0.0,57.81,837046,4793965559.0,0.79,2.35
2025-10-16,0.0,58.02,681478,3966486441.0,0.64,0.36
2025-10-17,0.0,57.28,677493,3916934527.0,0.64,-1.28
2025-10-20,0.0,57.9,526695,3058431634.0,0.49,1.08
2025-10-21,0.0,58.08,762200,4456452771.0,0.72,0.31
2025-10-22,0.0,58.21,379893,2211002991.0,0.36,0.22
2025-10-23,0.0,58.75,503501,2943942596.0,0.47,0.93
2025-10-24,0.0,57.88,558242,3240224545.0,0.52,-1.48
2025-10-27,0.0,57.75,685004,3964893063.0,0.64,-0.22
2025-10-28,0.0,57.76,491305,2842864953.0,0.46,0.02
2025-10-29,0.0,58.95,1044432,6172236795.0,0.98,2.06
2025-10-30,0.0,58.65,745713,4424147711.0,0.7,-0.51
2025-10-31,0.0,57.83,572542,3331214748.0,0.54,-1.4
2025-11-03,0.0,58.31,411430,2399870470.0,0.39,0.83
2025-11-04,0.0,58.94,518126,3045009961.0,0.49,1.08
2025-11-05,0.0,58.32,402158,2348603001.0,0.38,-1.05
2025-11-06,0.0,58.9,547346,3224909538.0,0.51,0.99
2025-11-07,0.0,58.89,371910,2191134861.0,0.35,-0.02
2025-11-10,0.0,59.3,529487,3132320906.0,0.5,0.7
2025-11-11,0.0,59.2,362504,2143772917.0,0.34,-0.17
2025-11-12,0.0,60.03,1490246,8994592304.0,1.4,1.4
2025-11-13,0.0,60.88,890187,5421878882.0,0.84,1.42
2025-11-14,0.0,60.65,752741,4630168806.0,0.71,-0.38
2025-11-17,0.0,59.83,560197,3354710745.0,0.53,-1.35
2025-11-18,0.0,59.62,445712,2663627684.0,0.42,-0.35
2025-11-19,0.0,60.37,705865,4268493624.0,0.66,1.26
2025-11-20,0.0,60.2,394491,2387256691.0,0.37,-0.28
2025-11-21,0.0,58.91,685580,4067315652.0,0.64,-2.14
2025-11-24,0.0,58.4,534709,3141756214.0,0.5,-0.87
2025-11-25,0.0,59.47,487771,2887514429.0,0.46,1.83
2025-11-26,0.0,59.78,434693,2598031333.0,0.41,0.52
2025-11-27,0.0,59.34,505701,2993560813.0,0.47,-0.74
2025-11-28,0.0,58.99,433558,2553839886.0,0.41,-0.59
2025-12-01,0.0,58.63,445804,2614280156.0,0.42,-0.61
2025-12-02,0.0,58.8,373837,2200530387.0,0.35,0.29
2025-12-03,0.0,58.35,335494,1961924291.0,0.31,-0.77
2025-12-04,0.0,58.55,217664,1271252461.0,0.2,0.34
2025-12-05,0.0,61.99,1377948,8385205488.0,1.29,5.88
2025-12-08,0.0,63.4,1029979,6514118720.0,0.97,2.27
2025-12-09,0.0,62.45,483731,3044070518.0,0.45,-1.5
2025-12-10,0.0,62.55,448822,2808948857.0,0.42,0.16
2025-12-11,0.0,62.53,477963,2990603756.0,0.45,-0.03
2025-12-12,0.0,63.91,1091760,6926125694.0,1.02,2.21
2025-12-15,0.0,67.08,1546643,10258390316.0,1.45,4.96
2025-12-16,0.0,67.0,1056821,7074646043.0,0.99,-0.12
2025-12-17,0.0,68.05,962118,6513277291.0,0.9,1.57
2025-12-18,0.0,68.5,563606,3839846393.0,0.53,0.66
2025-12-19,0.0,68.75,638476,4363697642.0,0.6,0.36
2025-12-22,0.0,68.54,556942,3824247200.0,0.52,-0.31
2025-12-23,0.0,69.49,765720,5324655842.0,0.72,1.39
2025-12-24,0.0,69.03,511320,3522990020.0,0.48,-0.66
2025-12-25,0.0,70.8,777898,5513013481.0,0.73,2.56
2025-12-26,0.0,71.16,657017,4689142906.0,0.62,0.51
2025-12-29,0.0,69.88,655665,4622483554.0,0.62,-1.8
2025-12-30,0.0,68.8,1046674,7226865062.0,0.98,-1.55
2025-12-31,0.0,68.4,458069,3141993177.0,0.43,-0.58
2026-01-05,0.0,72.36,1228831,8824564893.0,1.15,5.79
2026-01-06,0.0,74.32,1468516,10867519151.0,1.38,2.71
2026-01-07,0.0,73.45,919695,6796568402.0,0.86,-1.17
2026-01-08,0.0,70.38,1685392,11969587226.0,1.58,-4.18
2026-01-09,0.0,69.0,2063348,14285738425.0,1.94,-1.96
2026-01-12,0.0,67.55,1851661,12546774433.0,1.74,-2.1
2026-01-13,0.0,68.2,1502151,10342110580.0,1.41,0.96
2026-01-14,0.0,67.0,1431109,9691268750.0,1.34,-1.76
2026-01-15,0.0,67.41,1066614,7195271140.0,1.0,0.61
2026-01-16,0.0,66.33,1356100,9017682809.0,1.27,-1.6
2026-01-19,0.0,66.3,838681,5560566590.0,0.79,-0.05
2026-01-20,0.0,66.6,988500,6611639902.0,0.93,0.45
2026-01-21,0.0,65.85,935402,6198978527.0,0.88,-1.13
2026-01-22,0.0,64.8,1143922,7455922559.0,1.07,-1.59
2026-01-23,0.0,63.9,1407699,9048849720.0,1.32,-1.39
2026-01-26,0.0,64.14,2013846,13083521294.0,1.89,0.38
2026-01-27,0.0,65.31,1508841,9868833866.0,1.42,1.82
2026-01-28,0.0,64.75,1992854,12952514678.0,1.87,-0.86
2026-01-29,0.0,68.0,2755713,18287719695.0,2.59,5.02
2026-01-30,0.0,66.75,1603228,10768334982.0,1.5,-1.84
2026-02-02,0.0,66.02,1354549,9059867836.0,1.27,-1.09
2026-02-03,0.0,66.58,1033225,6862044454.0,0.97,0.85
2026-02-04,0.0,67.4,877403,5866716207.0,0.82,1.23
2026-02-05,0.0,67.35,908191,6088193606.0,0.85,-0.07
2026-02-06,0.0,66.9,749275,5011778788.0,0.7,-0.67
2026-02-09,0.0,68.7,1021237,6973342327.0,0.96,2.69
